Level|Name|School|Casting Time|Range|Area or Targets|Effect|Save or Attack|Duration|Conc|Ritual|Mats|Cost|Source|Page|Arcane Trickster|Bard|Cleric|Druid|Eldritch Knight|Paladin|Ranger|Sorcerer|Warlock|Wizard
0|Magic Stone|Trans|Bonus|Touch|1-3 pebbles|Enchant up to 3 pebbles. Anyone can hurl pebble (ranged spell attack using your spellcasting mod) up to 60' for 1d6+your spellcasting mod. Pebble loses enchantment after attack.|Attack|1 Min|||VS||EE|20|FALSE|FALSE|FALSE|TRUE|FALSE|FALSE|FALSE|FALSE|TRUE|FALSE
0|Mending|Trans|1 Min|Touch|1 object|Repairs single break/tear in object||Instant|||VSM||PHB|259|TRUE|TRUE|TRUE|TRUE|TRUE|FALSE|FALSE|TRUE|FALSE|TRUE
0|Message|Trans|Act|120'|1 creature|Send message to target and receive whisper only you hear.  Can cast through solid objects if familiar w/target. Magical silence, 1' stone, 1inch metal, any lead, 3' wood blocks spell. Can wind around corners/openings.||1 rnd|||VSM||PHB|259|TRUE|TRUE|FALSE|FALSE|TRUE|FALSE|FALSE|TRUE|FALSE|TRUE
0|Minor Illusion|Illus|Act|30'|≤5' cube|Sound or image of object. Investigation check vs spell DC can determine illusion.||1 Min|||SM||PHB|260|TRUE|TRUE|FALSE|FALSE|TRUE|FALSE|FALSE|TRUE|TRUE|TRUE
0|Mold Earth|Trans|Act|30'|dirt/stone in 5' cube|Choose one: 1) excavate loose dirt to 5' away, 2) create shapes/colors/words/images in material for 1 hr, 3) make difficult/normal terrain for 1 hour.  Multiple castings allow only 2 non-instant effects.||Instant or 1 Hr|||S||EE|21|TRUE|FALSE|FALSE|TRUE|TRUE|FALSE|FALSE|TRUE|FALSE|TRUE
0|Poison Spray|Conj|Act|10'|1 creature|Project puf of poison gas, 1d12 poison damage, Con save negates. Damage increases to 2d12 at 5th, 3d12 at 11th, and 4d12 at 17th|Con|Instant|||VS||PHB|266|TRUE|FALSE|FALSE|TRUE|TRUE|FALSE|FALSE|TRUE|TRUE|TRUE
0|Prestidigitation|Trans|Act|10'|varies|Create minor magical effects (lights, flames, clean, warm/cool, flavor, trinket, etc). Affects 1 object (1 cubic foot)||≤1 Hr|||VS||PHB|267|TRUE|TRUE|FALSE|FALSE|TRUE|FALSE|FALSE|TRUE|TRUE|TRUE
0|Primal Savagery|Trans|Act|Self||Teeth/nails become corrosive. Melee spell attack vs adjacent creature for 1d10 acid damage.  2d10 at 5th, 3d10 at 11th, 4d10 at 17th.|Attack|Instant|||S||XGTE|163|FALSE|FALSE|FALSE|TRUE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE
0|Produce Flame|Conj|Act|Self, 30'|Self, 1 creature|Flickering flame appears in hand.  Shed light (10' bright, 20' dim).  Can make a ranged spell attack (ends spell) for 1d8 fire damage.  Damage increases to 2d8 at 5th, 3d8 at 11th, 4d8 at 17th.|Attack|10 Min|||VS||PHB|269|FALSE|FALSE|FALSE|TRUE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE
0|Ray Of Frost|Evoc|Act|60'|1 creature|Deals 1d8 cold damage on hit, speed reduced by 10'.  Damage increases: 5th (2d8), 11th (3d8), 17th (4d8)|Attack|Instant|||VS||PHB|271|TRUE|FALSE|FALSE|FALSE|TRUE|FALSE|FALSE|TRUE|FALSE|TRUE
0|Resistance|Abjur|Act|Touch|1 willing creature|Target can add 1d4 to ONE save of its choice before or after making the save||≤1 Min|YES||VSM||PHB|272|FALSE|FALSE|TRUE|TRUE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE
0|Sacred Flame|Evoc|Act|60'|1 creature|Deals 1d8 radiant damage, save negates (no cover bonus).  Damage increase: 5th (2d8), 11th (3d8), 17th (4d8)|Dex|Instant|||VS||PHB|272|FALSE|FALSE|TRUE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE
0|Shape Water|Trans|Act|30'|water in 5' cube|Choose one: 1) move/change flow of water 5' in any direction, 2) water makes simple shapes/animation for 1 hour, 2) change water opacity for 1 hour, 3) freeze unoccupied water for 1 hour. Multiple castings allow only 2 non-instant effects.||Instant or 1 Hr|||S||EE|21|TRUE|FALSE|FALSE|TRUE|TRUE|FALSE|FALSE|TRUE|FALSE|TRUE
0|Shillelagh|Trans|Bonus|Touch|wooden weapon|Club/staff becomes magical.  Can use Spellcasting stat for attack and damage instead of Strength.  Weapon die becomes 1d8. Spell ends if you let go of weapon.||1 Min|||VSM||PHB|275|FALSE|FALSE|FALSE|TRUE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE
0|Shocking Grasp|Evoc|Act|Touch|1 creature|Melee spell attack for 1d8 lightning damage (ADV if target is wearing metal); target can't take reactions until start of next turn.  Damage increase: 5th (2d8), 11th (3d8), 17th (4d8)|Attack|Instant|||VS||PHB|275|TRUE|FALSE|FALSE|FALSE|TRUE|FALSE|FALSE|TRUE|FALSE|TRUE
0|Spare The Dying|Necro|Act|Touch|1 dying creature|Stabilize a living target that is dying.||Instant|||VS||PHB|277|FALSE|FALSE|TRUE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE
0|Sword Burst|Conj|Act|5' radius|Self|Each creature within 5' of you takes 1d6 force damage (Dex save negates).  Damage increases to 2d6 at 5th, 3d6 at 11th, 4d6 at 17th.|Dex|Instant|||V||SCAG|143|TRUE|FALSE|FALSE|FALSE|TRUE|FALSE|FALSE|TRUE|TRUE|TRUE
0|Thaumaturgy|Trans|Act|30'|varies|You manifest a minor wonder: voice booms 3 times for 1 min., cause flames to flicker, cause harmless ground tremors for 1 min., create an instantaneous sound from point of choice, cause unlock door/ window to slam, alter appearance of eyes for 1 min. Cause up to 3 effects at once with multiple cast.||≤1 Min|||V||PHB|282|FALSE|FALSE|TRUE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE
0|Thorn Whip|Trans|Act|30'|1 creature|Long vinelike whip of thorns makes melee spell attack: 1d6 piercing and pull target 10' closer to you.  Damage increases to 2d6 at 5th, 3d6 at 11th, 4d6 at 17th.|Attack|Instant|||VSM||PHB|282|FALSE|FALSE|FALSE|TRUE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE
0|Thunderclap|Evoc|Act|5' radius|Self|Burst of thunder (heard 100' away), deals 1d6 thunder to creatures 5' from you.  Con save negates.  Damage increases to 2d6 at 5th, 3d6 at 11th, 4d6 at 17th.|Con|Instant|||S||EE|22|TRUE|TRUE|FALSE|TRUE|TRUE|FALSE|FALSE|TRUE|TRUE|TRUE
0|Toll the Dead|Necro|Act|60'|1 creature|Bell sounds, target makes WIS save or takes 1d8 necrotic damage (1d12 if currently damaged).  2d8/2d12 at 5th, 3d8/3d12 at 11th, 4d8/4d12 at 17th.|Wis|Instant|||VS||XGTE|169|FALSE|FALSE|TRUE|FALSE|FALSE|FALSE|FALSE|FALSE|TRUE|TRUE
0|True Strike|Divin|Act|30'|1 creature|Gain advantage on next attack roll.||≤1 Min|YES||S||PHB|284|TRUE|TRUE|FALSE|FALSE|TRUE|FALSE|FALSE|TRUE|TRUE|TRUE
0|Vicious Mockery|Ench|Act|60'|1 creature|Insult target that can hear you.  Wisdom save or take 1d4 psychic damage and disadvantage on next attack roll.  Damage increase:  5th (2d4), 11th (3d4), 17th (4d4)|Wis|Instant|||V||PHB|285|FALSE|TRUE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE
0|Word of Radiance|Evoc|Act|5'|5ft radius (self)|Creatures within 5ft of you make CON save or take 1d6 radiant damage.  2d6 dmg at 5th, 3d6 at 11th, 4d6 at 17th|Con|Instant|||VM||XGTE|171|FALSE|FALSE|TRUE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE
1|Absorb Elements|Abjur|React|Self|Self|When you take acid, cold, fire, lightning, or thunder damage, gain resistance until start of your next turn.  First time you hit with melee attack (until ends), deal +1d6 of that energy type.  Overpower: +1d6/lvl damage||1 Round|||S||EE|15|FALSE|FALSE|FALSE|TRUE|TRUE|FALSE|TRUE|TRUE|FALSE|TRUE
1|Alarm|Abjur|1 Min|30'|20' cube|Alerts you whenever a Tiny or larger creature touches/enters area.  Can set allowed creatures and alarm type (mental 1 mile or audible 10 secs in 60')||8 Hrs||YES|VSM||PHB|211|FALSE|FALSE|FALSE|FALSE|TRUE|FALSE|TRUE|FALSE|FALSE|TRUE
1|Animal Friendship|Ench|Act|30'|1 beast|Beast (<4 Int) that can see or hear you is charmed.  Wis save negates.  If you or ally harms creature, spell ends.  Overpower: +1 target/slot lvl|Wis|24 Hrs|||VSM||PHB|212|FALSE|TRUE|FALSE|TRUE|FALSE|FALSE|TRUE|FALSE|FALSE|FALSE
1|Armor of Agathys|Abjur|Act|Self||Gain 5 temp hp. Deal 5 cold damage to melee attackers while you have these temp hp. Overpower: +5 to temp hp and damage / slot lvl||1 Hour|||VSM||PHB|215|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|TRUE|FALSE
1|Arms of Hadar|Conj|Act|Self|10' radius|Deal 2d6 necrotic damage to creatures within 10' of you (save for 1/2).  Creatures failing save lose reactions until its next turn.  Overpower:  +1d6 damage / slot lvl|Str|Instant|||VS||PHB|215|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|TRUE|FALSE
1|Bane|Ench|Act|30'|≤3 creatures|Targets that failed save, must roll a d4 and subtract the number rolled from attacks and saves until the spell ends. Overpower: +1 target / slot level|Cha|≤1 Min|YES||VSM||PHB|216|FALSE|TRUE|TRUE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE
1|Beast Bond|Divin|Act|Touch|1 Beast|Telepathic link with friendly beast (Int <4) within line of sight. Beast gains advantage on attacks against creatures adjacent to you that you can see.||≤10 Min|YES||VSM||EE|15|FALSE|FALSE|FALSE|TRUE|FALSE|FALSE|TRUE|FALSE|FALSE|FALSE
1|Bless|Ench|Act|30'|≤3 creatures|Targets may add +1d4 to attacks and saves.  Overpower: +1 target / slot lvl||≤1 Min|YES||VSM||PHB|219|FALSE|FALSE|TRUE|FALSE|FALSE|TRUE|FALSE|FALSE|FALSE|FALSE
1|Burning Hands|Evoc|Act|Self|15' cone|3d6 fire damage to creatures in cone, save for 1/2 damage. Overpower: +1d6 damage / slot lvl above 1st.|Dex|Instant|||VS||PHB|220|FALSE|FALSE|FALSE|FALSE|TRUE|FALSE|FALSE|TRUE|FALSE|TRUE
1|Catapult|Trans|Act|60'|1 object|Unattended object (1-5lb) flies 90' in direction you choose. If hits something, deals 3d8 blundgeoning to both (Dex save negates). Overpower: +5lb object weight, +1d8 damage / lvl|Dex|Instant|||S||EE|15|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|TRUE|FALSE|TRUE
1|Cause Fear|Necro|Act|60'|1 creature|Target makes WIS save or becomes frightened of you until spell ends.  May repeat save at end of its turns to end. Undead/Constructs immune.  Overpower: +1 additional creature per slot level above 1st (within 30ft of each other).|Wis|≤1 Min|YES||V||XGTE|151|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|TRUE|TRUE
1|Ceremony|Abjur|1 Hr|Touch|Varies|Choose 1  rite - Atonement: Restore alignment (DC20 Wis check); Bless Water: turn vial of water holy; Coming of Age: 1/life, target gets +d4 to ability checks for 24 hrs; Dedication: 1/life, target gains +d4 to saves for 24 hrs; Funeral Rite: target cannot become undead for 7 days; Wedding: next 7 days, targets gain +2 AC within 30ft (1/marriage)  ||Instant||YES|VSM*|25gp|XGTE|151|FALSE|FALSE|TRUE|FALSE|FALSE|TRUE|FALSE|FALSE|FALSE|FALSE
1|Chaos Bolt|Evoc|Act|120'||Bolt shoots target for 2d8+1d6 damage.  Roll 1d8 twice for damage type (choose):  1=Acid, 2=Cold, 3=Fire, 4=Force, 5=Lightning, 6=Poison, 7=Psychic, 8=Thunder.  If you roll doubles, energy leaps to another creature (30') you choose. Make new attack and rolls.  Overpower: +1d6 extra damage/lvl|Attack|Instant|||VS||XGTE|151|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|TRUE|FALSE|FALSE
1|Charm Person|Ench|Act|30'|1 humanoid|Charm visible humanoid within range for duration or until harmed. Targets being fought by your party save with adv. Overpower: +1 target / slot lvl >1st, must be in range of 1st target|Wis|1 Hr|||VS||PHB|221|TRUE|TRUE|FALSE|TRUE|FALSE|FALSE|FALSE|TRUE|TRUE|TRUE
1|Chromatic Orb|Evoc|Act|90'|1 creature|Choose acid, cold, fire, lightning, poison, or thunder - hurl orb as ranged spell attack.  On hit, deals 3d8 of that energy type.  Overpower: +1d8 / lvl|Attack|Instant|||VSF|50gp|PHB|221|FALSE|FALSE|FALSE|FALSE|TRUE|FALSE|FALSE|TRUE|FALSE|TRUE
1|Color Spray|Illus|Act|Self|15' cone|Blind 6d10 hp worth of creatures. Start with lowest hp first and go up, dropping any left over. Overpower: +2d10 hp / slot lvl > 1st||1 round|||VSM||PHB|222|TRUE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|TRUE|FALSE|TRUE
1|Command|Ench|Act|60'|1 creature|Visible creature in range obeys 1-word command (language dependent). Undead and harmful commands fail.  Overpower: +1 target within 30' of 1st target / slot lvl > 1st|Wis|1 Round|||V||PHB|223|FALSE|FALSE|TRUE|FALSE|FALSE|TRUE|FALSE|FALSE|FALSE|FALSE
1|Compelled Duel|Ench|Bonus|30'|1 creature|Creature you can see within range has disadvantage vs anyone but you, must make Wis save to move more than 30' away from you. Spell ends if you attack or target other hostile creatures, if a friendly damages/casts a harmful spell on it, or if you end your turn 30' away from it.|Wis|≤1 Min|YES||V||PHB|224|FALSE|FALSE|FALSE|FALSE|FALSE|TRUE|FALSE|FALSE|FALSE|FALSE
1|Comprehend Languages|Divin|Act|Self|Hear or touch|Understand any spoken language you hear or written language you see. Takes about 1 min to read one page of text.||1 Hr||YES|VSM||PHB|224|FALSE|TRUE|FALSE|FALSE|FALSE|FALSE|FALSE|TRUE|TRUE|TRUE
1|Create or Destroy Water|Trans|Act|30'|10 gallons water|Create or destroy water in open container, or create 30' cube rain or destroy 30' cube of fog.  Overpower: +10 gallons or +5' cube||Instant|||VSM||PHB|229|FALSE|FALSE|TRUE|TRUE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE
1|Cure Wounds|Evoc|Act|Touch|1 living creature|Target is healed 1d8+ ability modifier.  Overpower: +1d8 / lvl||Instant|||VS||PHB|230|FALSE|TRUE|TRUE|TRUE|FALSE|TRUE|TRUE|FALSE|FALSE|FALSE
1|Detect Evil/Good|Divin|Act|Self|30'|Detect aberrations, celestials, elementals, fey, fiends, or undead, as well as consecrated/desecrated areas||≤10 Min|YES||VS||PHB|231|FALSE|FALSE|TRUE|FALSE|FALSE|TRUE|FALSE|FALSE|FALSE|FALSE
1|Detect Magic|Divin|Act|Self|30'|Detect presence of magic. Use action to see auras and school of magic.||≤10 Min|YES|YES|VS||PHB|231|FALSE|TRUE|TRUE|TRUE|FALSE|TRUE|TRUE|TRUE|FALSE|TRUE
1|Detect Poison and Disease|Divin|Act|Self|30'|Detect presence and identity of poisons, poisonous creatures, and diseases.||≤10 Min|YES|YES|VS||PHB|231|FALSE|FALSE|TRUE|TRUE|FALSE|TRUE|TRUE|FALSE|FALSE|FALSE
1|Disguise Self|Illus|Act|Self||You make yourself, including possessions, look different.  You can't change your body type, so you must adopt a form that has the same basic arrangement of limbs.  This does not trick physical inspection.  Creatures can use an action to use Investigation vs your spell DC.||1 Hr|||VS||PHB|233|TRUE|TRUE|FALSE|FALSE|FALSE|FALSE|FALSE|TRUE|FALSE|TRUE
1|Dissonant Whispers|Ench|Act|60'|1 creature|Target takes 3d6 psychic dmg and must immediately use its reaction if available to move away from you at full speed.  On successful save, it takes half damage.  Deaf creatures automatically succeed. Overpower: +1d6 dmg.|Wis|Instant|||V||PHB|234|FALSE|TRUE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE
1|Divine Favor|Evoc|Bonus|Self||Weapon attacks deal an extra 1d4 radiant damage on hit||≤1 Min|YES||VS||PHB|234|FALSE|FALSE|FALSE|FALSE|FALSE|TRUE|FALSE|FALSE|FALSE|FALSE
1|Earth Tremor|Evoc|Act|Self|10' Rad|Each creature in area (other than you) takes 1d6 bludgeoning damage and is knocked prone (Dex save for no effect).  Overpower: +1d6 dmg/lvl|Dex|Instant|||VS||EE|17|FALSE|TRUE|FALSE|TRUE|TRUE|FALSE|FALSE|TRUE|FALSE|TRUE
1|Ensnaring Strike|Conj|Bonus|Self|1 creature|The next time you hit a creature with a weapon attack, they are ensnared (Str Dex negates).  Large + creatures have advantage on save. While restrained, target takes 1d6 piercing damage at start of its turns. Str check by creature or allies to break free with Action.  Overpower: +1d6 dmg / lvl|Str|≤1 Min|YES||V||PHB|237|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|TRUE|FALSE|FALSE|FALSE
1|Entangle|Conj|Act|90'|20x20'|Plants turn area into difficult terrain. Creatures in area when cast must make Str save or be restrained; can use action to make Str check against spell DC and free itself.|Str|≤1 Min|YES||VS||PHB|238|FALSE|FALSE|FALSE|TRUE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE
1|Expeditious Retreat|Trans|Bonus|Self|Self|Take Dash action as a bonus action||≤10 Min|YES||VS||PHB|238|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|TRUE|TRUE|TRUE
1|Faerie Fire|Evoc|Act|60'|20' cube|Outlines alll in colored light that negates concealment.  Creatures allowed a save to negate.  Attacks vs visible creatures have advantage.|Dex|≤1 Min|YES||V||PHB|239|FALSE|TRUE|FALSE|TRUE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE
1|False Life|Necro|Act|Self|Self|1d4+4 temporary hp||1 Hr|||VSM||PHB|239|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|TRUE|FALSE|TRUE
1|Feather Fall|Trans|React|60'|≤5 falling creatures|Creatures' descent slows to 60' per round; if the creature lands before the spell ends, it takes no falling damage and lands on its feat, and the spell ends.||1 min|||VM||PHB|239|FALSE|TRUE|FALSE|FALSE|FALSE|FALSE|FALSE|TRUE|FALSE|TRUE
1|Find Familiar|Conj|1 Hr|10'||You gain the service of a familiar.||Instant||YES|VSM*|10gp|PHB|240|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|TRUE
1|Fog Cloud|Conj|Act|120'|20' rad sphere|Area is heavily obscured, spreads around corners.  Moderate wind disperses.  Overpower: +20' radius / lvl||≤1 Hr|YES||VS||PHB|243|FALSE|FALSE|FALSE|TRUE|FALSE|FALSE|TRUE|TRUE|FALSE|TRUE
1|Goodberry|Trans|Act|Touch||Create up to 10 magic berries.  Each heal 1 hp and provide nourishment for 1 day.||24 hrs|||VSM||PHB|246|FALSE|FALSE|FALSE|TRUE|FALSE|FALSE|TRUE|FALSE|FALSE|FALSE
1|Grease|Conj|Act|60'|10' sq.|Grease covers 10' sq., area is difficult terrain. On cast, creature in area save or fall prone. Creature that enters or ends turn must also save or fall prone.|Dex|1 Min|||VSM||PHB|246|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|TRUE
1|Guiding Bolt|Evoc|Act|120'|1 creature|On hit, target takes 4d6 radiant damage, next attack roll against target before end of next turn has advantage.  Overpower: +1d6 damage / lvl|Attack|1 Round|||VS||PHB|248|FALSE|FALSE|TRUE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE
1|Hail of Thorns|Conj|Bonus|Self|5' burst|The nex time you hit a creature with a weapon attack, bursts and damages all within 5' (plus target) for 1d10 piercing (Dex save for 1/2).  Overpower:  +1d10 dmg / lvl|Dex|≤1 Min|YES||V||PHB|249|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|TRUE|FALSE|FALSE|FALSE
1|Healing Word|Evoc|Bonus|60'|1 living creature|Heals 1d4 + spell casting ability mod.  Overpower: +1d4 healing / lvl||Instant|||V||PHB|250|FALSE|TRUE|TRUE|TRUE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE
1|Hellish Rebuke|Evoc|React|60'|1 creature|Creature that just damaged you takes 2d10 fire damage (Dex save for 1/2).  Overpower: +1d10 damage / lvl|Dex|Instant|||VS||PHB|250|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|TRUE|FALSE
1|Heroism|Ench|Act|Touch|1 willing creature|Creature is immune to being frightened, gains temp HP equal to your spellcasting ability modifier at the start of its turns.  The target loses any remaining temp HP when the spell ends.||≤1 Min|YES||VS||PHB|250|FALSE|TRUE|FALSE|FALSE|FALSE|TRUE|FALSE|FALSE|FALSE|FALSE
1|Hex|Ench|Bonus|90'|1 target|Curse target, deal +1d6 nectrotic dmg when you hit with an attack.  Target has disadvantage on ability checks of 1 type (choose stat).  Can move hex as bonus action if target dies. Overpower: 3rd level (8hrs) 5th level (24hrs)||≤1 Hr|YES||VSM||PHB|251|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|TRUE|FALSE
1|Hunter's Mark|Divin|Bonus|90'|1 target|Deal +1d6 dmg when you hit with an attack.  Advantage on any Perception/Survival check to find it.  Can move hex as bonus action if target dies.  Overpower: 3rd level (8hrs) 5th level (24hrs)||≤1 Hr|YES||V||PHB|251|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|TRUE|FALSE|FALSE|FALSE
